,ID_SIR_TMJ,X_DEPART,X_FIN,Y_DEPART,Y_FIN,Z_DEPART,Z_FIN,AXE,CUMULD,CUMULF,PLOD,ABSD,PLOF,ABSF,TYPE_CPT,SENS,LIBELLE,LOCALISATI,COMMUNE,CODEINSEE,CATEGORIE,ROUTE,PLOC,ABSC,CUMULC,LATITUDE,LONGITUDE,DERNANCPT,ANNEE_N,MJATVTCJN,MJAPLTCJN,MJAPPLTCJN,COTE,EMPLACEMEN,VOIE,DISTANCE
131,709,395362.0869,392955.2565,6828098.0851,6820915.711,0.0,0.0,D177,4251,11931,4,229,11,891,Temporaire,3,D14 - D19,LANDEAN,LANDEAN,35142,B,35 D177,10,0,0,48.434628,-1.1419904,2021,2021,3578,277,7.75,,,0,
132,729,382770.2124,382591.8179,6769118.8779,6766677.3299,0.0,0.0,D178,42307,44853,43,368,45,677,Temporaire,3,D43 - D47,LA GUERCHE DE BRETAGNE,LA GUERCHE-DE-BRETAGNE,35125,B,35 D178,44,0,0,47.9391694,-1.2489619,2021,2021,3998,714,17.87,,,0,
133,726,387290.1157,386862.372,6781377.8589,6775575.3668,0.0,0.0,D178,27651,33542,28,797,34,795,Permanent,3,Vitré - La Guerche de B.,D178_DOMALAIN,DOMALAIN,35097,B,35 D178,33,50,0,48.0429373,-1.2007769,2021,2021,6161,920,14.93,,,0,
134,727,386862.372,386075.6466,6775575.3668,6771015.5835,0.0,0.0,D178,33542,38261,34,795,39,573,Temporaire,3,D37 - D106,MOUTIERS,MOUTIERS,35200,B,35 D178,38,0,0,47.9779458,-1.2030641,2021,2021,5146,669,13.0,,,0,
135,687,331022.4058,332442.3642,6846844.9196,6847218.1203,0.0,0.0,D168,9894,11452,9,799,11,333,Permanent,3,Ploubalay - St Malo,D168_BEAUGEARD,SAINT-MALO,35288,A,35 D168,10,95,10190,0.0,0.0,2021,2021,24080,1078,4.48,,,0,
136,728,386075.6466,382802.8703,6771015.5835,6769161.9568,0.0,0.0,D178,38261,42307,39,573,43,368,Temporaire,3,D106 - D43,MOUTIERS,MOUTIERS,35200,B,35 D178,41,0,0,47.9542683,-1.217312,2021,2021,5178,654,12.64,,,0,
137,720,392166.6113,391163.9634,6805509.4568,6799739.5075,0.0,0.0,D178,0,6243,0,0,6,286,Temporaire,3,D798 - D209,CHATILLON EN VENDELAIS,CHATILLON-EN-VENDELAIS,35072,B,35 D178,3,500,0,48.2527784,-1.1434082,2021,2021,2724,332,12.17,,,0,
138,696,356830.6283,355250.3721,6781638.9045,6785392.3448,0.0,0.0,D173,43801,47859,43,685,47,743,Permanent,3,Janzé - Rennes,D173_05.OA_2,VERN-SUR-SEICHE,35352,A,35 D173,46,655,0,48.06977,-1.62343,2021,2021,32946,3440,10.44,,,0,
139,688,382267.9117,376867.7214,6750621.894,6755171.9815,0.0,0.0,D173,0,7390,0,0,7,381,Permanent,3,Angers - Rennes,D173_ST_MORAND,MARTIGNE-FERCHAUD,35167,A,35 D173,6,738,0,47.8135897,-1.3135362,2021,2021,6867,1381,20.11,,,0,
140,724,386932.0291,387500.6346,6787229.6535,6782470.7865,0.0,0.0,D178,21920,26631,22,353,27,663,Temporaire,3,D8572 - D110,VITRE,VITRE,35360,B,35 D178,25,0,0,48.0934545,-1.2054737,2021,2021,9286,748,8.06,,,0,
141,723,386921.9119,386909.6911,6790156.7312,6787246.6408,0.0,0.0,D178,17070,21920,17,134,22,353,Permanent,3,RD857 - RD777,D178_POCE,POCE-LES-BOIS,35229,B,35 D178,20,25,0,48.11986,-1.23253,2021,2021,14880,1679,11.28,,,0,
